,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3563,1257.0,3.5869565217391304,1923.0,10.826086956521738,1911.0,3.717391304347826,59672.8515625,81899.99999999984,710.0,-2.25609756097561,74.0,3.0,3.0,3884193.0,12.380952380952381,-1222.0,9.756097560975611,-320.0,37.25609756097561,710.0,0.012210012210012234,0.012210012210012234,1.971291866028708,-412.0,412.0,9.588516746411482,1.971291866028708,-2004.0,11.995391364547379
3564,1254.0,3.4891304347826084,1932.0,10.858695652173912,1900.0,3.8369565217391304,59677.734375,88323.5294117645,708.0,-2.2865853658536586,75.0,3.0,3.0,3884353.0,12.385836385836386,-1189.0,10.152439024390246,-333.0,36.25,708.0,0.01132201132201135,0.011322011322011348,2.028708133971292,-424.0,420.0,9.435406698564593,2.0095693779904304,-1972.0,12.033600367603343
3565,1262.0,3.5652173913043477,1925.0,10.771739130434783,1886.0,3.9891304347826084,59682.6171875,76347.45762711852,712.0,-1.9512195121951221,64.0,3.0,3.0,3884513.0,12.390720390720391,-1191.0,10.792682926829269,-354.0,36.3109756097561,712.0,0.013098013098013119,0.013098013098013117,2.0861244019138754,-436.0,400.0,9.492822966507177,1.9138755980861244,-1984.0,12.02723162523728
3566,1262.0,3.4891304347826084,1932.0,10.771739130434783,1897.0,3.869565217391304,59687.5,84990.56603773567,709.0,-1.5853658536585367,52.0,3.0,3.0,3884673.0,12.395604395604396,-1218.0,11.097560975609758,-364.0,37.13414634146342,709.0,0.011766011766011792,0.01176601176601179,2.1818181818181817,-456.0,384.0,9.588516746411482,1.8373205741626792,-2004.0,11.965698059733532
3567,1261.0,3.4565217391304346,1935.0,10.782608695652174,1886.0,3.9891304347826084,59692.3828125,79026.31578947355,711.0,-1.1585365853658538,38.0,3.0,3.0,3884833.0,12.4004884004884,-1203.0,10.975609756097562,-360.0,36.676829268292686,711.0,0.012654012654012677,0.012654012654012677,2.2392344497607652,-468.0,376.0,9.588516746411482,1.7990430622009568,-2004.0,12.005221965559157
3568,1260.0,3.4130434782608696,1939.0,10.793478260869565,1878.0,4.076086956521739,59697.265625,88323.5294117645,708.0,-1.1890243902439026,39.0,3.0,3.0,3884993.0,12.405372405372406,-1163.0,10.30487804878049,-338.0,35.457317073170735,708.0,0.01132201132201135,0.011322011322011348,2.2966507177033493,-480.0,356.0,9.626794258373206,1.7033492822966507,-2012.0,12.031729868538838
3569,1259.0,3.260869565217391,1953.0,10.804347826086957,1877.0,4.08695652173913,59702.1484375,84990.56603773567,709.0,-1.6158536585365855,53.0,3.0,3.0,3885153.0,12.41025641025641,-1130.0,9.51219512195122,-312.0,34.451219512195124,709.0,0.011766011766011792,0.01176601176601179,2.3157894736842106,-484.0,336.0,9.569377990430622,1.6076555023923444,-2000.0,12.002933636366445
3570,1260.0,3.1630434782608696,1962.0,10.793478260869565,1883.0,4.021739130434782,59707.03125,81899.99999999984,710.0,-1.981707317073171,65.0,3.0,3.0,3885313.0,12.415140415140415,-1050.0,9.146341463414634,-300.0,32.01219512195122,710.0,0.012210012210012234,0.012210012210012234,2.2583732057416266,-472.0,288.0,9.626794258373206,1.3779904306220094,-2012.0,11.944806513564915
3571,1257.0,2.9565217391304346,1981.0,10.826086956521738,1882.0,4.032608695652174,59711.9140625,88323.5294117645,708.0,-2.1341463414634148,70.0,3.0,3.0,3885473.0,12.42002442002442,-968.0,8.628048780487806,-283.0,29.512195121951223,708.0,0.01132201132201135,0.011322011322011348,2.2583732057416266,-472.0,260.0,9.55023923444976,1.244019138755981,-1996.0,11.9250623678189
3572,1258.0,2.8478260869565215,1991.0,10.815217391304348,1882.0,4.032608695652174,59716.796875,84990.56603773567,709.0,-2.3170731707317076,76.0,3.0,3.0,3885633.0,12.424908424908425,-850.0,7.926829268292684,-260.0,25.914634146341466,709.0,0.011766011766011792,0.01176601176601179,2.2583732057416266,-472.0,220.0,9.588516746411482,1.0526315789473684,-2004.0,11.888690993333608
