,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2649,2690.0,7.369565217391304,-4.75,1575.0,1.7717391304347825,2090.0,30786.1328125,712.0,76347.45762711852,0.7621951219512196,-25.0,3.0,3.0,4231364.0,2.9157509157509156,-3.3231707317073176,-247.0,7.5304878048780495,109.0,712.0,0.013098013098013117,0.013098013098013119,-0.2679425837320574,56.0,1248.0,-8.076555023923445,1688.0,5.971291866028708,8.944945558229941
2650,2680.0,7.369565217391304,-4.641304347826087,1575.0,1.7717391304347825,2090.0,30791.015625,711.0,79026.31578947355,0.6402439024390244,-21.0,3.0,3.0,4231524.0,2.9206349206349205,-3.3231707317073176,-248.0,7.560975609756098,109.0,711.0,0.012654012654012677,0.012654012654012677,-0.24880382775119617,52.0,1240.0,-8.114832535885167,1696.0,5.9330143540669855,8.887702576529374
2651,2682.0,7.369565217391304,-4.663043478260869,1575.0,1.858695652173913,2082.0,30795.8984375,711.0,79026.31578947355,0.5182926829268293,-17.0,3.0,3.0,4231684.0,2.9255189255189253,-3.932926829268293,-267.0,8.140243902439025,129.0,711.0,0.012654012654012677,0.012654012654012677,-0.17224880382775118,36.0,1236.0,-8.057416267942584,1684.0,5.913875598086124,8.91679401471993
2652,2680.0,7.304347826086956,-4.641304347826087,1581.0,1.8804347826086956,2080.0,30800.78125,711.0,79026.31578947355,0.5792682926829269,-19.0,3.0,3.0,4231844.0,2.93040293040293,-4.085365853658537,-268.0,8.170731707317074,134.0,711.0,0.012654012654012677,0.012654012654012677,-0.2296650717703349,48.0,1244.0,-8.133971291866029,1700.0,5.952153110047846,8.85614126949515
2653,2691.0,7.304347826086956,-4.760869565217392,1581.0,1.9456521739130435,2074.0,30805.6640625,712.0,76347.45762711852,0.426829268292683,-14.0,3.0,3.0,4232004.0,2.935286935286935,-4.481707317073171,-295.0,8.99390243902439,147.0,712.0,0.013098013098013117,0.013098013098013119,-0.19138755980861244,40.0,1216.0,-8.114832535885167,1696.0,5.818181818181818,8.933360989198132
2654,2688.0,7.282608695652174,-4.728260869565217,1583.0,1.9130434782608696,2077.0,30810.546875,711.0,79026.31578947355,0.30487804878048785,-10.0,3.0,3.0,4232164.0,2.9401709401709404,-4.390243902439025,-302.0,9.207317073170733,144.0,711.0,0.012654012654012677,0.012654012654012677,-0.19138755980861244,40.0,1232.0,-8.114832535885167,1696.0,5.894736842105263,8.891151534776961
2655,2683.0,7.217391304347826,-4.673913043478261,1589.0,1.9239130434782608,2076.0,30815.4296875,711.0,79026.31578947355,0.15243902439024393,-5.0,3.0,3.0,4232324.0,2.9450549450549453,-4.817073170731708,-304.0,9.26829268292683,158.0,711.0,0.012654012654012677,0.012654012654012677,-0.15311004784688995,32.0,1212.0,-8.229665071770334,1720.0,5.7990430622009566,8.811222490491183
2656,2692.0,7.239130434782608,-4.771739130434782,1587.0,1.9239130434782608,2076.0,30820.3125,712.0,76347.45762711852,-0.030487804878048783,1.0,3.0,3.0,4232484.0,2.94993894993895,-5.121951219512195,-298.0,9.085365853658537,168.0,712.0,0.013098013098013117,0.013098013098013119,-0.21052631578947367,44.0,1224.0,-8.133971291866029,1700.0,5.85645933014354,8.881213046627364
2657,2692.0,7.293478260869565,-4.771739130434782,1582.0,1.7826086956521738,2089.0,30825.1953125,712.0,76347.45762711852,0.1829268292682927,-6.0,3.0,3.0,4232644.0,2.954822954822955,-5.3048780487804885,-306.0,9.329268292682928,174.0,712.0,0.013098013098013117,0.013098013098013119,-0.2679425837320574,56.0,1240.0,-8.210526315789473,1716.0,5.9330143540669855,8.896179698753514
2658,2693.0,7.358695652173913,-4.782608695652174,1576.0,1.7826086956521738,2089.0,30830.078125,712.0,76347.45762711852,0.09146341463414635,-3.0,3.0,3.0,4232804.0,2.95970695970696,-5.457317073170732,-328.0,10.000000000000002,179.0,712.0,0.013098013098013117,0.013098013098013119,-0.36363636363636365,76.0,1248.0,-8.17224880382775,1708.0,5.971291866028708,8.955525746647474
2659,2699.0,7.358695652173913,-4.8478260869565215,1576.0,1.7065217391304348,2096.0,30834.9609375,712.0,76347.45762711852,0.030487804878048783,-1.0,3.0,3.0,4232964.0,2.9645909645909647,-5.2439024390243905,-331.0,10.091463414634147,172.0,712.0,0.013098013098013117,0.013098013098013119,-0.4019138755980861,84.0,1252.0,-8.191387559808613,1712.0,5.990430622009569,8.975747095190695
2660,2709.0,7.423913043478261,-4.956521739130435,1570.0,1.6304347826086956,2103.0,30839.84375,712.0,76347.45762711852,0.06097560975609757,-2.0,3.0,3.0,4233124.0,2.9694749694749696,-5.27439024390244,-329.0,10.03048780487805,173.0,712.0,0.013098013098013117,0.013098013098013119,-0.49760765550239233,104.0,1252.0,-8.267942583732058,1728.0,5.990430622009569,9.074134129928844
2661,2694.0,7.434782608695652,-4.793478260869565,1569.0,1.5543478260869565,2110.0,30844.7265625,711.0,79026.31578947355,0.06097560975609757,-2.0,3.0,3.0,4233284.0,2.9743589743589745,-4.908536585365854,-348.0,10.609756097560977,161.0,711.0,0.012654012654012677,0.012654012654012677,-0.5358851674641149,112.0,1260.0,-8.267942583732058,1728.0,6.028708133971292,8.98161585910095
2662,2700.0,7.489130434782608,-4.858695652173913,1564.0,1.6521739130434783,2101.0,30849.609375,711.0,79026.31578947355,0.3353658536585366,-11.0,3.0,3.0,4233444.0,2.9792429792429793,-4.817073170731708,-364.0,11.097560975609758,158.0,711.0,0.012654012654012677,0.012654012654012677,-0.4784688995215311,100.0,1264.0,-8.30622009569378,1736.0,6.047846889952153,9.078748633406601
2663,2702.0,7.5,-4.880434782608695,1563.0,1.6521739130434783,2101.0,30854.4921875,711.0,79026.31578947355,0.4573170731707317,-15.0,3.0,3.0,4233604.0,2.984126984126984,-4.75609756097561,-391.0,11.920731707317074,156.0,711.0,0.012654012654012677,0.012654012654012677,-0.4593301435406698,96.0,1280.0,-8.325358851674642,1740.0,6.124401913875598,9.099358345852645
2664,2703.0,7.543478260869565,-4.891304347826087,1559.0,1.7065217391304348,2096.0,30859.375,712.0,76347.45762711852,0.426829268292683,-14.0,3.0,3.0,4233764.0,2.989010989010989,-4.75609756097561,-419.0,12.77439024390244,156.0,712.0,0.013098013098013117,0.013098013098013119,-0.4401913875598086,92.0,1284.0,-8.363636363636363,1748.0,6.143540669856459,9.151018464706475
2665,2703.0,7.543478260869565,-4.891304347826087,1559.0,1.7282608695652173,2094.0,30864.2578125,711.0,79026.31578947355,0.5792682926829269,-19.0,3.0,3.0,4233924.0,2.993894993894994,-4.359756097560976,-435.0,13.26219512195122,143.0,711.0,0.012654012654012677,0.012654012654012677,-0.4019138755980861,84.0,1280.0,-8.287081339712918,1732.0,6.124401913875598,9.155097384984193
2666,2697.0,7.510869565217391,-4.826086956521739,1562.0,1.7282608695652173,2094.0,30869.140625,711.0,79026.31578947355,0.7621951219512196,-25.0,3.0,3.0,4234084.0,2.998778998778999,-4.420731707317073,-448.0,13.658536585365855,145.0,711.0,0.012654012654012677,0.012654012654012677,-0.42105263157894735,88.0,1272.0,-8.267942583732058,1728.0,6.086124401913875,9.093468126676887
