,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4208,1654.0,5.467391304347826,1750.0,6.510869565217391,2044.0,2.2717391304347827,37958.984375,88323.5294117645,708.0,-2650.0,80.79268292682927,3.0,3.0,10.52991452991453,8378303.0,56.707317073170735,1995.0,-1860.0,-60.82317073170732,708.0,0.01132201132201135,0.011322011322011348,-44.0,0.21052631578947367,852.0,4.746411483253588,-992.0,4.0765550239234445,8.800260726074024
4209,1650.0,5.58695652173913,1739.0,6.554347826086956,2050.0,2.2065217391304346,37963.8671875,91928.57142857119,707.0,-2464.0,75.1219512195122,3.0,3.0,10.534798534798535,8378463.0,55.76219512195122,2053.0,-1829.0,-62.591463414634156,707.0,0.010878010878010906,0.010878010878010906,-20.0,0.09569377990430622,884.0,4.708133971291866,-984.0,4.229665071770334,8.890573479050122
4210,1651.0,5.695652173913043,1729.0,6.543478260869565,2074.0,1.9456521739130435,37968.75,88323.5294117645,708.0,-2327.0,70.94512195121952,3.0,3.0,10.53968253968254,8378623.0,55.243902439024396,2080.0,-1812.0,-63.41463414634147,708.0,0.01132201132201135,0.011322011322011348,40.0,-0.19138755980861244,904.0,4.7272727272727275,-988.0,4.325358851674641,8.890619990671377
4211,1655.0,5.804347826086956,1719.0,6.5,2095.0,1.717391304347826,37973.6328125,91928.57142857119,707.0,-2186.0,66.64634146341464,3.0,3.0,10.544566544566544,8378783.0,55.00000000000001,2082.0,-1804.0,-63.47560975609757,707.0,0.010878010878010906,0.010878010878010906,68.0,-0.3253588516746411,904.0,4.746411483253588,-992.0,4.325358851674641,8.881997893404947
4212,1642.0,5.934782608695652,1707.0,6.641304347826087,2118.0,1.467391304347826,37978.515625,95840.42553191462,706.0,-2044.0,62.31707317073171,3.0,3.0,10.54945054945055,8378943.0,54.42073170731708,2114.0,-1785.0,-64.45121951219512,706.0,0.010434010434010463,0.010434010434010463,124.0,-0.5933014354066986,940.0,4.899521531100478,-1024.0,4.497607655502392,9.026727274766069
4213,1627.0,6.010869565217392,1700.0,6.804347826086956,2128.0,1.358695652173913,37983.3984375,100099.99999999968,705.0,-1899.0,57.896341463414636,3.0,3.0,10.554334554334554,8379103.0,53.56707317073171,2149.0,-1757.0,-65.51829268292684,705.0,0.009990009990010023,0.009990009990010021,156.0,-0.7464114832535885,988.0,5.1291866028708135,-1072.0,4.7272727272727275,9.180182794676112
4214,1613.0,6.239130434782608,1679.0,6.956521739130435,2144.0,1.184782608695652,37988.28125,88323.5294117645,708.0,-1738.0,52.987804878048784,3.0,3.0,10.559218559218559,8379263.0,52.59146341463415,2145.0,-1725.0,-65.39634146341464,708.0,0.01132201132201135,0.011322011322011348,204.0,-0.9760765550239234,1056.0,5.301435406698564,-1108.0,5.052631578947368,9.419323389665132
4215,1602.0,6.695652173913043,1637.0,7.076086956521739,2154.0,1.076086956521739,37993.1640625,88323.5294117645,708.0,-1600.0,48.78048780487806,3.0,3.0,10.564102564102564,8379423.0,51.737804878048784,2092.0,-1697.0,-63.78048780487806,708.0,0.01132201132201135,0.011322011322011348,220.0,-1.0526315789473684,1184.0,5.358851674641148,-1120.0,5.665071770334928,9.801057483163731
4216,1587.0,7.141304347826087,1596.0,7.239130434782608,2163.0,0.9782608695652174,37998.046875,91928.57142857119,707.0,-1470.0,44.81707317073171,3.0,3.0,10.568986568986569,8379583.0,50.701219512195124,1990.0,-1663.0,-60.67073170731708,707.0,0.010878010878010906,0.010878010878010906,240.0,-1.1483253588516746,1252.0,5.5311004784688995,-1156.0,5.990430622009569,10.21568556529605
4217,1576.0,7.293478260869565,1582.0,7.358695652173913,2174.0,0.858695652173913,38002.9296875,88323.5294117645,708.0,-1335.0,40.701219512195124,3.0,3.0,10.573870573870574,8379743.0,49.51219512195122,1881.0,-1624.0,-57.34756097560976,708.0,0.01132201132201135,0.011322011322011348,288.0,-1.3779904306220094,1296.0,5.684210526315789,-1188.0,6.200956937799043,10.396277461965056
