,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2474,2001.0,5.315217391304348,2.7391304347826084,1764.0,10.41304347826087,1295.0,12070.3125,702.0,115500.00000000041,-0.9756097560975611,32.0,3.0,3.0,10850437.0,8.063492063492063,-1.0,1.0060975609756098,0.030487804878048783,-33.0,0.008658008658008629,0.008658008658008627,702.0,-1872.0,8.956937799043061,0.5358851674641149,796.0,-112.0,3.8086124401913874,12.007741083806222
2475,1998.0,5.217391304347826,2.7717391304347827,1773.0,10.456521739130434,1291.0,12075.1953125,701.0,121743.24324324368,-1.128048780487805,37.0,3.0,3.0,10850597.0,8.068376068376068,17.0,0.7317073170731708,-0.5182926829268293,-24.0,0.008214008214008185,0.008214008214008185,701.0,-1864.0,8.91866028708134,0.49760765550239233,780.0,-104.0,3.7320574162679425,12.010102277282032
2476,1996.0,5.1521739130434785,2.793478260869565,1779.0,10.445652173913043,1292.0,12080.078125,700.0,128700.00000000045,-0.7621951219512196,25.0,3.0,3.0,10850757.0,8.073260073260073,33.0,0.2134146341463415,-1.0060975609756098,-7.0,0.007770007770007743,0.007770007770007743,700.0,-1876.0,8.976076555023923,0.4784688995215311,756.0,-100.0,3.617224880382775,11.97748162856328
2477,2001.0,5.108695652173913,2.7391304347826084,1783.0,10.402173913043478,1296.0,12084.9609375,701.0,121743.24324324368,-0.9451219512195123,31.0,3.0,3.0,10850917.0,8.078144078144078,57.0,-0.030487804878048783,-1.7378048780487807,1.0,0.008214008214008185,0.008214008214008185,701.0,-1856.0,8.880382775119617,0.42105263157894735,764.0,-88.0,3.6555023923444976,11.908267251052743
2478,1998.0,5.108695652173913,2.7717391304347827,1783.0,10.358695652173912,1300.0,12089.84375,702.0,115500.00000000041,-1.4634146341463417,48.0,3.0,3.0,10851077.0,8.083028083028083,81.0,-0.6402439024390244,-2.4695121951219514,21.0,0.008658008658008629,0.008658008658008627,702.0,-1848.0,8.842105263157894,0.5167464114832536,744.0,-108.0,3.5598086124401913,11.87787374440774
2479,1996.0,5.141304347826087,2.793478260869565,1780.0,10.33695652173913,1302.0,12094.7265625,701.0,121743.24324324368,-1.2500000000000002,41.0,3.0,3.0,10851237.0,8.087912087912088,85.0,-1.128048780487805,-2.5914634146341466,37.0,0.008214008214008185,0.008214008214008185,701.0,-1828.0,8.746411483253588,0.42105263157894735,772.0,-88.0,3.69377990430622,11.878097546461362
2480,1997.0,5.184782608695652,2.782608695652174,1776.0,10.326086956521738,1303.0,12099.609375,701.0,121743.24324324368,-0.8841463414634148,29.0,3.0,3.0,10851397.0,8.092796092796092,91.0,-1.8902439024390245,-2.7743902439024395,62.0,0.008214008214008185,0.008214008214008185,701.0,-1844.0,8.822966507177034,0.5358851674641149,764.0,-112.0,3.6555023923444976,11.884988585867482
2481,2000.0,5.228260869565217,2.75,1772.0,10.347826086956522,1301.0,12104.4921875,701.0,121743.24324324368,-0.853658536585366,28.0,3.0,3.0,10851557.0,8.097680097680097,110.0,-1.7987804878048783,-3.353658536585366,59.0,0.008214008214008185,0.008214008214008185,701.0,-1848.0,8.842105263157894,0.4593301435406698,784.0,-96.0,3.751196172248804,11.915314366231582
2482,2003.0,5.260869565217392,2.717391304347826,1769.0,10.326086956521738,1303.0,12109.375,699.0,136500.0000000005,-0.8841463414634148,29.0,3.0,3.0,10851717.0,8.102564102564102,128.0,-1.6158536585365855,-3.9024390243902443,53.0,0.007326007326007299,0.007326007326007299,699.0,-1848.0,8.842105263157894,0.4593301435406698,788.0,-96.0,3.7703349282296648,11.903320373611063
2483,2004.0,5.304347826086956,2.7065217391304346,1765.0,10.33695652173913,1302.0,12114.2578125,699.0,136500.0000000005,-0.701219512195122,23.0,3.0,3.0,10851877.0,8.107448107448107,114.0,-1.707317073170732,-3.4756097560975614,56.0,0.007326007326007299,0.007326007326007299,699.0,-1848.0,8.842105263157894,0.4593301435406698,812.0,-96.0,3.8851674641148324,11.92954466510873
