,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
7922,2233.0,5.413043478260869,1755.0,0.21739130434782608,1981.0,2.9565217391304346,91665.0390625,711.0,79026.31578947355,-2074.0,63.23170731707317,3.0,3.0,189966.0,18.666666666666668,173.50609756097563,1819.0,-5691.0,-55.457317073170735,0.012654012654012677,0.012654012654012677,711.0,-208.0,0.9952153110047847,812.0,-2.7942583732057416,584.0,3.8851674641148324,6.171654516472826
7923,2247.0,5.391304347826087,1757.0,0.06521739130434782,1970.0,3.0760869565217392,91669.921875,712.0,76347.45762711852,-1942.0,59.207317073170735,3.0,3.0,190126.0,18.671550671550673,167.34756097560978,1722.0,-5489.0,-52.50000000000001,0.013098013098013119,0.013098013098013117,712.0,-212.0,1.014354066985646,800.0,-2.7942583732057416,584.0,3.827751196172249,6.2074734669670715
7924,2257.0,5.282608695652174,1767.0,-0.043478260869565216,1965.0,3.1304347826086953,91674.8046875,711.0,79026.31578947355,-1838.0,56.03658536585366,3.0,3.0,190286.0,18.676434676434678,160.609756097561,1657.0,-5268.0,-50.518292682926834,0.012654012654012677,0.012654012654012677,711.0,-224.0,1.0717703349282297,788.0,-2.832535885167464,592.0,3.7703349282296648,6.140640595142705
7925,2262.0,5.282608695652174,1767.0,-0.09782608695652173,1954.0,3.25,91679.6875,712.0,76347.45762711852,-1733.0,52.835365853658544,3.0,3.0,190446.0,18.681318681318682,154.1158536585366,1578.0,-5055.0,-48.10975609756098,0.013098013098013119,0.013098013098013117,712.0,-252.0,1.2057416267942582,788.0,-2.92822966507177,612.0,3.7703349282296648,6.20306573999254
7926,2272.0,5.315217391304348,1764.0,-0.20652173913043478,1934.0,3.467391304347826,91684.5703125,712.0,76347.45762711852,-1608.0,49.024390243902445,3.0,3.0,190606.0,18.686202686202687,147.19512195121953,1518.0,-4828.0,-46.28048780487805,0.013098013098013119,0.013098013098013117,712.0,-308.0,1.4736842105263157,788.0,-3.0239234449760763,632.0,3.7703349282296648,6.349566095649731
7927,2288.0,5.217391304347826,1773.0,-0.3804347826086956,1920.0,3.619565217391304,91689.453125,710.0,81899.99999999984,-1500.0,45.73170731707317,3.0,3.0,190766.0,18.691086691086692,140.39634146341464,1473.0,-4605.0,-44.90853658536586,0.012210012210012234,0.012210012210012234,710.0,-352.0,1.6842105263157894,780.0,-3.177033492822966,664.0,3.7320574162679425,6.361379961097419
7928,2292.0,5.369565217391304,1759.0,-0.42391304347826086,1921.0,3.608695652173913,91694.3359375,713.0,73844.26229508186,-1416.0,43.170731707317074,3.0,3.0,190926.0,18.695970695970697,134.0548780487805,1431.0,-4397.0,-43.62804878048781,0.013542013542013561,0.01354201354201356,713.0,-328.0,1.569377990430622,812.0,-3.311004784688995,692.0,3.8851674641148324,6.483410923446733
7929,2309.0,5.543478260869565,1743.0,-0.6086956521739131,1914.0,3.684782608695652,91699.21875,712.0,76347.45762711852,-1345.0,41.00609756097561,3.0,3.0,191086.0,18.700854700854702,127.34756097560977,1357.0,-4177.0,-41.3719512195122,0.013098013098013119,0.013098013098013117,712.0,-328.0,1.569377990430622,856.0,-3.4066985645933014,712.0,4.095693779904306,6.684181662631173
7930,2318.0,5.706521739130435,1728.0,-0.7065217391304348,1914.0,3.684782608695652,91704.1015625,712.0,76347.45762711852,-1274.0,38.84146341463415,3.0,3.0,191246.0,18.705738705738707,120.85365853658537,1266.0,-3964.0,-38.59756097560976,0.013098013098013119,0.013098013098013117,712.0,-360.0,1.7224880382775118,900.0,-3.5789473684210527,748.0,4.30622009569378,6.829435276827658
7931,2333.0,5.782608695652174,1721.0,-0.8695652173913043,1904.0,3.793478260869565,91708.984375,713.0,73844.26229508186,-1192.0,36.34146341463415,3.0,3.0,191406.0,18.71062271062271,114.0548780487805,1206.0,-3741.0,-36.768292682926834,0.013542013542013561,0.01354201354201356,713.0,-388.0,1.8564593301435406,912.0,-3.789473684210526,792.0,4.363636363636363,6.970307332536987
