,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4218,1291.0,3.152173913043478,1963.0,10.456521739130434,1803.0,4.891304347826087,40502.9296875,95840.42553191462,706.0,-38.8109756097561,1273.0,3.0,3.0,1703541.0,15.57997557997558,610.0,6.676829268292684,-18.597560975609756,-219.0,0.010434010434010463,706.0,0.010434010434010463,3.1961722488038276,-668.0,300.0,9.205741626794259,-1924.0,1.4354066985645932,11.96661629208698
4219,1292.0,3.0652173913043477,1971.0,10.445652173913043,1803.0,4.891304347826087,40507.8125,100099.99999999968,705.0,-39.69512195121951,1302.0,3.0,3.0,1703701.0,15.584859584859585,575.0,6.432926829268293,-17.53048780487805,-211.0,0.009990009990010023,705.0,0.009990009990010021,3.177033492822966,-664.0,292.0,9.205741626794259,-1924.0,1.3971291866028708,11.9344905721774
4220,1295.0,3.032608695652174,1974.0,10.41304347826087,1807.0,4.8478260869565215,40512.6953125,88323.5294117645,708.0,-40.640243902439025,1333.0,3.0,3.0,1703861.0,15.58974358974359,538.0,5.884146341463415,-16.402439024390244,-193.0,0.01132201132201135,708.0,0.011322011322011348,3.1196172248803826,-652.0,284.0,9.186602870813397,-1920.0,1.3588516746411483,11.87979830428415
4221,1302.0,2.9782608695652173,1979.0,10.33695652173913,1811.0,4.804347826086956,40517.578125,91928.57142857119,707.0,-41.61585365853659,1365.0,3.0,3.0,1704021.0,15.594627594627594,506.0,5.731707317073171,-15.426829268292684,-188.0,0.010878010878010906,707.0,0.010878010878010906,3.062200956937799,-640.0,272.0,9.110047846889952,-1904.0,1.3014354066985645,11.781530714365386
4222,1307.0,2.9239130434782608,1984.0,10.282608695652174,1820.0,4.706521739130435,40522.4609375,109865.85365853697,703.0,-42.43902439024391,1392.0,3.0,3.0,1704181.0,15.5995115995116,498.0,5.335365853658537,-15.182926829268293,-175.0,0.00910200910200907,703.0,0.00910200910200907,2.9473684210526314,-616.0,252.0,8.976076555023923,-1876.0,1.2057416267942582,11.680439030902535
4223,1313.0,2.891304347826087,1987.0,10.217391304347826,1823.0,4.673913043478261,40527.34375,91928.57142857119,707.0,-43.14024390243903,1415.0,3.0,3.0,1704341.0,15.604395604395604,494.0,5.060975609756098,-15.060975609756099,-166.0,0.010878010878010906,707.0,0.010878010878010906,2.889952153110048,-604.0,240.0,8.91866028708134,-1864.0,1.1483253588516746,11.60173215670474
4224,1321.0,2.782608695652174,1997.0,10.130434782608695,1824.0,4.663043478260869,40532.2265625,91928.57142857119,707.0,-43.47560975609756,1426.0,3.0,3.0,1704501.0,15.609279609279609,503.0,5.457317073170732,-15.335365853658537,-179.0,0.010878010878010906,707.0,0.010878010878010906,2.813397129186603,-588.0,224.0,8.861244019138756,-1852.0,1.0717703349282297,11.494024296040026
4225,1322.0,2.6739130434782608,2007.0,10.119565217391305,1836.0,4.532608695652174,40537.109375,88323.5294117645,708.0,-43.8719512195122,1439.0,3.0,3.0,1704661.0,15.614163614163614,530.0,5.579268292682928,-16.158536585365855,-183.0,0.01132201132201135,708.0,0.011322011322011348,2.77511961722488,-580.0,224.0,8.746411483253588,-1828.0,1.0717703349282297,11.406136626440206
4226,1323.0,2.641304347826087,2010.0,10.108695652173912,1838.0,4.510869565217392,40541.9921875,88323.5294117645,708.0,-43.8109756097561,1437.0,3.0,3.0,1704821.0,15.619047619047619,562.0,5.609756097560976,-17.134146341463417,-184.0,0.01132201132201135,708.0,0.011322011322011348,2.77511961722488,-580.0,184.0,8.803827751196172,-1840.0,0.8803827751196172,11.38025310265678
4227,1323.0,2.608695652173913,2013.0,10.108695652173912,1838.0,4.510869565217392,40546.875,91928.57142857119,707.0,-43.50609756097561,1427.0,3.0,3.0,1704981.0,15.623931623931623,611.0,5.670731707317073,-18.628048780487806,-186.0,0.010878010878010906,707.0,0.010878010878010906,2.755980861244019,-576.0,184.0,8.78468899521531,-1836.0,0.8803827751196172,11.372729005315978
