,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4340,1298.0,5.021739130434782,1791.0,10.380434782608695,1904.0,3.793478260869565,33056.640625,711.0,79026.31578947355,-45.0,1.3719512195121952,3.0,3.0,16.175824175824175,1036235.0,691.0,-4.146341463414634,136.0,-21.06707317073171,0.012654012654012677,711.0,0.012654012654012677,-412.0,1.971291866028708,9.07177033492823,744.0,3.5598086124401913,-1896.0,12.139265524974
4341,1302.0,5.108695652173913,1783.0,10.33695652173913,1903.0,3.8043478260869565,33061.5234375,709.0,84990.56603773567,-52.0,1.5853658536585367,3.0,3.0,16.18070818070818,1036395.0,636.0,-4.085365853658537,134.0,-19.390243902439025,0.01176601176601179,709.0,0.011766011766011792,-416.0,1.9904306220095693,9.167464114832535,752.0,3.5980861244019136,-1916.0,12.141849273513419
4342,1297.0,5.195652173913043,1775.0,10.391304347826086,1904.0,3.793478260869565,33066.40625,708.0,88323.5294117645,-61.0,1.8597560975609757,3.0,3.0,16.185592185592185,1036555.0,587.0,-3.9024390243902443,128.0,-17.896341463414636,0.011322011322011348,708.0,0.01132201132201135,-416.0,1.9904306220095693,9.148325358851674,764.0,3.6555023923444976,-1912.0,12.221476378782011
4343,1299.0,5.119565217391304,1782.0,10.369565217391305,1894.0,3.902173913043478,33071.2890625,707.0,91928.57142857119,-69.0,2.103658536585366,3.0,3.0,16.19047619047619,1036715.0,530.0,-3.780487804878049,124.0,-16.158536585365855,0.010878010878010906,707.0,0.010878010878010906,-424.0,2.028708133971292,9.110047846889952,760.0,3.6363636363636362,-1904.0,12.20511335713403
4344,1300.0,5.119565217391304,1782.0,10.358695652173912,1897.0,3.869565217391304,33076.171875,710.0,81899.99999999984,-86.0,2.6219512195121952,3.0,3.0,16.195360195360195,1036875.0,463.0,-3.7195121951219514,122.0,-14.115853658536587,0.012210012210012234,710.0,0.012210012210012234,-436.0,2.0861244019138754,9.09090909090909,768.0,3.6746411483253585,-1900.0,12.185485571003486
4345,1300.0,5.119565217391304,1782.0,10.358695652173912,1894.0,3.902173913043478,33081.0546875,711.0,79026.31578947355,-95.0,2.8963414634146343,3.0,3.0,16.2002442002442,1037035.0,388.0,-3.231707317073171,106.0,-11.829268292682928,0.012654012654012677,711.0,0.012654012654012677,-436.0,2.0861244019138754,9.07177033492823,772.0,3.69377990430622,-1896.0,12.195879832022232
4346,1300.0,5.119565217391304,1782.0,10.358695652173912,1887.0,3.9782608695652173,33085.9375,711.0,79026.31578947355,-111.0,3.3841463414634148,3.0,3.0,16.205128205128204,1037195.0,295.0,-2.8353658536585367,93.0,-8.99390243902439,0.012654012654012677,711.0,0.012654012654012677,-452.0,2.1626794258373203,9.033492822966506,752.0,3.5980861244019136,-1888.0,12.22043711066848
4347,1301.0,5.076086956521739,1786.0,10.347826086956522,1884.0,4.010869565217392,33090.8203125,708.0,88323.5294117645,-112.0,3.414634146341464,3.0,3.0,16.21001221001221,1037355.0,216.0,-2.804878048780488,92.0,-6.585365853658537,0.011322011322011348,708.0,0.01132201132201135,-464.0,2.2200956937799043,8.956937799043061,744.0,3.5598086124401913,-1872.0,12.203738697024582
4348,1297.0,5.0,1793.0,10.391304347826086,1870.0,4.163043478260869,33095.703125,708.0,88323.5294117645,-134.0,4.085365853658537,3.0,3.0,16.214896214896214,1037515.0,146.0,-2.8353658536585367,93.0,-4.451219512195123,0.011322011322011348,708.0,0.01132201132201135,-488.0,2.3349282296650715,9.09090909090909,724.0,3.464114832535885,-1900.0,12.260103468202855
4349,1295.0,4.923913043478261,1800.0,10.41304347826087,1866.0,4.206521739130435,33100.5859375,709.0,84990.56603773567,-125.0,3.810975609756098,3.0,3.0,16.21978021978022,1037675.0,94.0,-2.5000000000000004,82.0,-2.8658536585365857,0.01176601176601179,709.0,0.011766011766011792,-512.0,2.449760765550239,9.129186602870814,716.0,3.4258373205741623,-1908.0,12.262594312854988
4350,1292.0,4.804347826086956,1811.0,10.445652173913043,1861.0,4.260869565217392,33105.46875,708.0,88323.5294117645,-127.0,3.8719512195121957,3.0,3.0,16.224664224664224,1037835.0,51.0,-2.073170731707317,68.0,-1.5548780487804879,0.011322011322011348,708.0,0.01132201132201135,-512.0,2.449760765550239,9.205741626794259,680.0,3.253588516746411,-1924.0,12.261664520944805
4351,1293.0,4.695652173913043,1821.0,10.434782608695652,1859.0,4.282608695652174,33110.3515625,710.0,81899.99999999984,-128.0,3.9024390243902443,3.0,3.0,16.22954822954823,1037995.0,22.0,-1.9207317073170733,63.0,-0.6707317073170732,0.012210012210012234,710.0,0.012210012210012234,-508.0,2.430622009569378,9.263157894736842,644.0,3.0813397129186604,-1936.0,12.217797455727736
4352,1286.0,4.58695652173913,1831.0,10.51086956521739,1864.0,4.228260869565217,33115.234375,709.0,84990.56603773567,-120.0,3.658536585365854,3.0,3.0,16.234432234432234,1038155.0,-12.0,-2.103658536585366,69.0,0.3658536585365854,0.01176601176601179,709.0,0.011766011766011792,-528.0,2.526315789473684,9.24401913875598,636.0,3.0430622009569377,-1932.0,12.222795880257298
4353,1283.0,4.5978260869565215,1830.0,10.543478260869565,1857.0,4.304347826086956,33120.1171875,709.0,84990.56603773567,-126.0,3.8414634146341466,3.0,3.0,16.23931623931624,1038315.0,-30.0,-2.2256097560975614,73.0,0.9146341463414634,0.01176601176601179,709.0,0.011766011766011792,-540.0,2.5837320574162677,9.263157894736842,624.0,2.985645933014354,-1936.0,12.281382201172088
4354,1280.0,4.5,1839.0,10.576086956521738,1854.0,4.33695652173913,33125.0,707.0,91928.57142857119,-108.0,3.2926829268292686,3.0,3.0,16.244200244200243,1038475.0,-61.0,-2.5000000000000004,82.0,1.8597560975609757,0.010878010878010906,707.0,0.010878010878010906,-520.0,2.488038277511962,9.339712918660286,608.0,2.909090909090909,-1952.0,12.2846573897429
4355,1279.0,4.510869565217392,1838.0,10.58695652173913,1857.0,4.304347826086956,33129.8828125,710.0,81899.99999999984,-102.0,3.1097560975609757,3.0,3.0,16.249084249084248,1038635.0,-80.0,-2.5000000000000004,82.0,2.439024390243903,0.012210012210012234,710.0,0.012210012210012234,-544.0,2.602870813397129,9.454545454545455,604.0,2.889952153110048,-1976.0,12.286537463237508
4356,1273.0,4.510869565217392,1838.0,10.652173913043478,1864.0,4.228260869565217,33134.765625,707.0,91928.57142857119,-86.0,2.6219512195121952,3.0,3.0,16.253968253968253,1038795.0,-98.0,-2.682926829268293,88.0,2.987804878048781,0.010878010878010906,707.0,0.010878010878010906,-532.0,2.5454545454545454,9.358851674641148,604.0,2.889952153110048,-1956.0,12.31645010907059
4357,1275.0,4.445652173913043,1844.0,10.630434782608695,1858.0,4.293478260869565,33139.6484375,710.0,81899.99999999984,-79.0,2.408536585365854,3.0,3.0,16.258852258852258,1038955.0,-109.0,-2.5000000000000004,82.0,3.3231707317073176,0.012210012210012234,710.0,0.012210012210012234,-520.0,2.488038277511962,9.37799043062201,612.0,2.92822966507177,-1960.0,12.296500416593092
4358,1275.0,4.413043478260869,1847.0,10.630434782608695,1862.0,4.25,33144.53125,709.0,84990.56603773567,-64.0,1.9512195121951221,3.0,3.0,16.263736263736263,1039115.0,-127.0,-2.2256097560975614,73.0,3.8719512195121957,0.01176601176601179,709.0,0.011766011766011792,-528.0,2.526315789473684,9.454545454545455,596.0,2.851674641148325,-1976.0,12.269620874677326
4359,1277.0,4.413043478260869,1847.0,10.608695652173912,1861.0,4.260869565217392,33149.4140625,710.0,81899.99999999984,-51.0,1.5548780487804879,3.0,3.0,16.268620268620268,1039275.0,-150.0,-2.1341463414634148,70.0,4.573170731707317,0.012210012210012234,710.0,0.012210012210012234,-532.0,2.5454545454545454,9.454545454545455,592.0,2.832535885167464,-1976.0,12.254565909622025
