,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4115,2170.0,6.782608695652174,0.9021739130434783,1629.0,1.4782608695652173,2117.0,20083.0078125,91928.57142857119,707.0,9921.0,-302.469512195122,3.0,3.0,15.076923076923077,31315.0,-137.6219512195122,-3773.0,115.03048780487806,4514.0,0.010878010878010906,707.0,0.010878010878010906,96.0,-0.4593301435406698,1092.0,-1.9138755980861244,400.0,5.22488038277512,7.000210974406441
4116,2151.0,6.565217391304348,1.108695652173913,1649.0,1.608695652173913,2105.0,20087.890625,91928.57142857119,707.0,10143.0,-309.2378048780488,3.0,3.0,15.081807081807082,31475.0,-134.66463414634148,-3841.0,117.10365853658537,4417.0,0.010878010878010906,707.0,0.010878010878010906,112.0,-0.5358851674641149,1096.0,-1.7990430622009568,376.0,5.244019138755981,6.849758181538795
4117,2160.0,6.5978260869565215,1.0108695652173914,1646.0,1.5434782608695652,2111.0,20092.7734375,76347.45762711852,712.0,10390.0,-316.76829268292687,3.0,3.0,15.086691086691086,31635.0,-132.46951219512195,-3802.0,115.91463414634147,4345.0,0.013098013098013119,712.0,0.013098013098013117,160.0,-0.7655502392344498,1100.0,-1.7224880382775118,360.0,5.263157894736842,6.850948218559511
4118,2149.0,6.641304347826087,1.1304347826086956,1642.0,1.2065217391304348,2142.0,20097.65625,81899.99999999984,710.0,10605.0,-323.32317073170736,3.0,3.0,15.091575091575091,31795.0,-129.1158536585366,-3685.0,112.34756097560977,4235.0,0.012210012210012234,710.0,0.012210012210012234,208.0,-0.9952153110047847,1136.0,-1.6650717703349283,348.0,5.435406698564593,6.844012050338572
4119,2138.0,6.804347826086956,1.25,1627.0,1.141304347826087,2148.0,20102.5390625,76347.45762711852,712.0,10760.0,-328.0487804878049,3.0,3.0,15.096459096459096,31955.0,-125.09146341463416,-3565.0,108.68902439024392,4103.0,0.013098013098013119,712.0,0.013098013098013117,188.0,-0.8995215311004784,1148.0,-1.4545454545454546,304.0,5.492822966507177,7.011720541546206
4120,2125.0,6.83695652173913,1.391304347826087,1624.0,1.25,2138.0,20107.421875,81899.99999999984,710.0,10905.0,-332.469512195122,3.0,3.0,15.101343101343101,32115.0,-121.6158536585366,-3524.0,107.43902439024392,3989.0,0.012210012210012234,710.0,0.012210012210012234,160.0,-0.7655502392344498,1128.0,-1.3205741626794258,276.0,5.3971291866028706,7.088173408462225
4121,2111.0,6.728260869565217,1.5434782608695652,1634.0,1.391304347826087,2125.0,20112.3046875,84990.56603773567,709.0,11078.0,-337.7439024390244,3.0,3.0,15.106227106227106,32275.0,-117.62195121951221,-3534.0,107.7439024390244,3858.0,0.011766011766011792,709.0,0.01176601176601179,124.0,-0.5933014354066986,1096.0,-1.0909090909090908,228.0,5.244019138755981,7.041842603962347
4122,2096.0,6.717391304347826,1.7065217391304348,1635.0,1.5434782608695652,2111.0,20117.1875,81899.99999999984,710.0,11281.0,-343.9329268292683,3.0,3.0,15.11111111111111,32435.0,-113.44512195121952,-3539.0,107.89634146341464,3721.0,0.012210012210012234,710.0,0.012210012210012234,96.0,-0.4593301435406698,1096.0,-0.8229665071770335,172.0,5.244019138755981,7.1005554376844
4123,2076.0,6.684782608695652,1.9239130434782608,1638.0,1.5217391304347825,2113.0,20122.0703125,88323.5294117645,708.0,11512.0,-350.9756097560976,3.0,3.0,15.115995115995116,32595.0,-109.57317073170732,-3529.0,107.59146341463416,3594.0,0.01132201132201135,708.0,0.011322011322011348,100.0,-0.4784688995215311,1112.0,-0.7464114832535885,156.0,5.320574162679426,7.12063549870951
4124,2058.0,6.826086956521739,2.119565217391304,1625.0,1.4456521739130435,2120.0,20126.953125,84990.56603773567,709.0,11737.0,-357.8353658536586,3.0,3.0,15.12087912087912,32755.0,-105.54878048780489,-3439.0,104.84756097560977,3462.0,0.011766011766011792,709.0,0.01176601176601179,128.0,-0.6124401913875598,1144.0,-0.42105263157894735,88.0,5.473684210526316,7.2923199365298546
