,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4578,1306.0,11.978260869565217,1151.0,10.293478260869565,3.532608695652174,1928.0,37021.484375,710.0,81899.99999999984,-7123.0,217.16463414634148,3.0,3.0,11.340659340659341,4544213.0,1442.0,-41.951219512195124,1376.0,-43.963414634146346,710.0,0.012210012210012234,0.012210012210012234,1.569377990430622,-328.0,8.861244019138756,2324.0,11.119617224880383,-1852.0,16.183749638540164
4579,1313.0,12.152173913043478,1135.0,10.217391304347826,3.532608695652174,1928.0,37026.3671875,707.0,91928.57142857119,-7254.0,221.15853658536588,3.0,3.0,11.345543345543346,4544373.0,1435.0,-40.76219512195122,1337.0,-43.75000000000001,707.0,0.010878010878010906,0.010878010878010906,1.6842105263157894,-352.0,8.76555023923445,2360.0,11.291866028708133,-1832.0,16.26498509300314
4580,1316.0,12.326086956521738,1119.0,10.184782608695652,3.5760869565217392,1924.0,37031.25,710.0,81899.99999999984,-7393.0,225.39634146341464,3.0,3.0,11.350427350427351,4544533.0,1420.0,-40.1219512195122,1316.0,-43.29268292682927,710.0,0.012210012210012234,0.012210012210012234,1.7224880382775118,-360.0,8.76555023923445,2364.0,11.311004784688995,-1832.0,16.384462590110477
4581,1314.0,12.445652173913043,1108.0,10.206521739130434,3.6739130434782608,1915.0,37036.1328125,711.0,79026.31578947355,-7511.0,228.99390243902442,3.0,3.0,11.355311355311356,4544693.0,1406.0,-38.84146341463415,1274.0,-42.86585365853659,711.0,0.012654012654012677,0.012654012654012677,1.7990430622009568,-376.0,8.746411483253588,2404.0,11.502392344497608,-1828.0,16.50954212255471
4582,1315.0,12.51086956521739,1102.0,10.195652173913043,3.7065217391304346,1912.0,37041.015625,709.0,84990.56603773567,-7638.0,232.8658536585366,3.0,3.0,11.36019536019536,4544853.0,1403.0,-37.6829268292683,1236.0,-42.774390243902445,709.0,0.011766011766011792,0.01176601176601179,1.7990430622009568,-376.0,8.746411483253588,2416.0,11.559808612440191,-1828.0,16.559332230858438
4583,1321.0,12.608695652173912,1093.0,10.130434782608695,3.5652173913043477,1925.0,37045.8984375,709.0,84990.56603773567,-7755.0,236.43292682926833,3.0,3.0,11.365079365079366,4545013.0,1365.0,-36.58536585365854,1200.0,-41.61585365853659,709.0,0.011766011766011792,0.01176601176601179,1.7416267942583732,-364.0,8.708133971291865,2424.0,11.598086124401913,-1820.0,16.5624783767737
4584,1333.0,12.58695652173913,1095.0,10.0,3.5869565217391304,1923.0,37050.78125,705.0,100099.99999999968,-7871.0,239.96951219512198,3.0,3.0,11.36996336996337,4545173.0,1369.0,-35.1829268292683,1154.0,-41.737804878048784,705.0,0.009990009990010023,0.009990009990010021,1.6650717703349283,-348.0,8.574162679425838,2436.0,11.655502392344497,-1792.0,16.47111810318286
4585,1336.0,12.641304347826086,1090.0,9.967391304347826,3.467391304347826,1934.0,37055.6640625,710.0,81899.99999999984,-7987.0,243.50609756097563,3.0,3.0,11.374847374847375,4545333.0,1366.0,-34.451219512195124,1130.0,-41.646341463414636,710.0,0.012210012210012234,0.012210012210012234,1.569377990430622,-328.0,8.516746411483254,2444.0,11.69377990430622,-1780.0,16.46736978044224
4586,1343.0,12.706521739130434,1084.0,9.891304347826086,3.467391304347826,1934.0,37060.546875,710.0,81899.99999999984,-8112.0,247.31707317073173,3.0,3.0,11.37973137973138,4545493.0,1362.0,-33.963414634146346,1114.0,-41.524390243902445,710.0,0.012210012210012234,0.012210012210012234,1.492822966507177,-312.0,8.344497607655502,2456.0,11.751196172248804,-1744.0,16.471684761000752
4587,1356.0,12.793478260869565,1076.0,9.75,3.5,1931.0,37065.4296875,710.0,81899.99999999984,-8254.0,251.64634146341464,3.0,3.0,11.384615384615385,4545653.0,1374.0,-33.109756097560975,1086.0,-41.890243902439025,710.0,0.012210012210012234,0.012210012210012234,1.6267942583732056,-340.0,8.210526315789473,2464.0,11.789473684210526,-1716.0,16.461639833605343
