,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2842,2463.0,8.445652173913043,1476.0,-2.282608695652174,1.9130434782608696,2077.0,19985.3515625,79026.31578947355,711.0,86.82926829268294,-2848.0,3.0,3.0,5.865689865689865,15560183.0,69.87804878048782,-1241.0,37.83536585365854,-2292.0,0.012654012654012677,711.0,0.012654012654012677,20.0,-0.09569377990430622,-5.435406698564593,1492.0,1136.0,7.1387559808612435,8.955393818805819
2843,2444.0,8.293478260869565,1490.0,-2.0760869565217392,1.8804347826086956,2080.0,19990.234375,84990.56603773567,709.0,84.26829268292684,-2764.0,3.0,3.0,5.87057387057387,15560343.0,69.54268292682927,-1389.0,42.34756097560976,-2281.0,0.011766011766011792,709.0,0.01176601176601179,40.0,-0.19138755980861244,-5.244019138755981,1476.0,1096.0,7.062200956937799,8.753739411600073
2844,2455.0,8.228260869565217,1496.0,-2.1956521739130435,2.119565217391304,2058.0,19995.1171875,76347.45762711852,712.0,81.98170731707317,-2689.0,3.0,3.0,5.875457875457875,15560503.0,68.29268292682927,-1472.0,44.87804878048781,-2240.0,0.013098013098013119,712.0,0.013098013098013117,-8.0,0.03827751196172249,-5.22488038277512,1440.0,1092.0,6.889952153110047,8.775974140641155
2845,2443.0,7.934782608695652,1523.0,-2.0652173913043477,2.0217391304347827,2067.0,20000.0,79026.31578947355,711.0,78.8109756097561,-2585.0,3.0,3.0,5.880341880341881,15560663.0,67.71341463414635,-1610.0,49.085365853658544,-2221.0,0.012654012654012677,711.0,0.012654012654012677,44.0,-0.21052631578947367,-5.033492822966507,1368.0,1052.0,6.545454545454545,8.44472184456872
2846,2433.0,7.706521739130435,1544.0,-1.9565217391304348,1.9565217391304348,2073.0,20004.8828125,73844.26229508186,713.0,75.0609756097561,-2462.0,3.0,3.0,5.885225885225886,15560823.0,66.28048780487805,-1688.0,51.463414634146346,-2174.0,0.013542013542013561,713.0,0.01354201354201356,-12.0,0.057416267942583726,-4.918660287081339,1336.0,1028.0,6.392344497607655,8.188188563233625
2847,2421.0,7.576086956521739,1556.0,-1.826086956521739,2.043478260869565,2065.0,20009.765625,79026.31578947355,711.0,72.37804878048782,-2374.0,3.0,3.0,5.8901098901098905,15560983.0,64.42073170731707,-1727.0,52.65243902439025,-2113.0,0.012654012654012677,711.0,0.012654012654012677,24.0,-0.11483253588516745,-4.746411483253588,1288.0,992.0,6.162679425837321,8.056518512869202
2848,2412.0,7.358695652173913,1576.0,-1.7282608695652173,2.0217391304347827,2067.0,20014.6484375,79026.31578947355,711.0,69.81707317073172,-2290.0,3.0,3.0,5.894993894993895,15561143.0,63.8719512195122,-1781.0,54.29878048780488,-2095.0,0.012654012654012677,711.0,0.012654012654012677,-32.0,0.15311004784688995,-4.822966507177033,1260.0,1008.0,6.028708133971292,7.824622447513028
2849,2416.0,7.228260869565217,1588.0,-1.7717391304347825,2.119565217391304,2058.0,20019.53125,73844.26229508186,713.0,66.79878048780489,-2191.0,3.0,3.0,5.8998778998779,15561303.0,61.676829268292686,-1729.0,52.713414634146346,-2023.0,0.013542013542013561,713.0,0.01354201354201356,12.0,-0.057416267942583726,-4.803827751196172,1212.0,1004.0,5.7990430622009566,7.738176235753263
2850,2412.0,7.076086956521739,1602.0,-1.7282608695652173,2.0760869565217392,2062.0,20024.4140625,79026.31578947355,711.0,65.2439024390244,-2140.0,3.0,3.0,5.904761904761905,15561463.0,60.1829268292683,-1698.0,51.768292682926834,-1974.0,0.012654012654012677,711.0,0.012654012654012677,-16.0,0.07655502392344497,-4.669856459330143,1192.0,976.0,5.70334928229665,7.574168555067091
2851,2411.0,6.967391304347826,1612.0,-1.717391304347826,2.0652173913043477,2063.0,20029.296875,81899.99999999984,710.0,62.713414634146346,-2057.0,3.0,3.0,5.90964590964591,15561623.0,59.60365853658537,-1611.0,49.11585365853659,-1955.0,0.012210012210012234,710.0,0.012210012210012234,-28.0,0.1339712918660287,-4.631578947368421,1164.0,968.0,5.569377990430622,7.4672014405329366
